AML_sample_name	Method	Precision	Recall	F1
AML_46_001	Mutect2	0.15	1.0	0.2608695652173913
AML_46_001	PHALCON	0.5	1.0	0.6666666666666666
AML_47_001	COMPASS	0.5	1.0	0.6666666666666666
AML_47_001	GATK	0.3333333333333333	1.0	0.5
AML_47_001	Mutect2	0.5	1.0	0.6666666666666666
AML_47_001	PHALCON	0.6666666666666666	1.0	0.8
AML_48_001	COMPASS	0.0	0.0	0.0
AML_48_001	GATK	0.0	0.0	0.0
AML_48_001	Mutect2	1.0	0.3333333333333333	0.5
AML_48_001	PHALCON	0.5	0.3333333333333333	0.4
AML_49_001	COMPASS	0.6	1.0	0.7499999999999999
AML_49_001	GATK	0.6	1.0	0.7499999999999999
AML_49_001	Mutect2	1.0	0.6666666666666666	0.8
AML_49_001	PHALCON	0.6666666666666666	0.6666666666666666	0.6666666666666666
AML_50_001	COMPASS	0.0	0.0	0.0
AML_50_001	GATK	0.0	0.0	0.0
AML_50_001	Mutect2	0.5	0.25	0.3333333333333333
AML_50_001	PHALCON	0.0	0.0	0.0
AML_51_001	COMPASS	0.5	0.6	0.5454545454545454
AML_51_001	GATK	0.5	0.6	0.5454545454545454
AML_51_001	Mutect2	0.5	0.2	0.28571428571428575
AML_51_001	PHALCON	0.6	0.6	0.6
AML_52_001	COMPASS	0.25	0.3333333333333333	0.28571428571428575
AML_52_001	GATK	0.25	0.3333333333333333	0.28571428571428575
AML_52_001	Mutect2	0.6666666666666666	0.6666666666666666	0.6666666666666666
AML_52_001	PHALCON	0.5	0.3333333333333333	0.4
AML_53_001	COMPASS	0.1666666666666666	0.2	0.18181818181818177
AML_53_001	GATK	0.125	0.2	0.15384615384615385
AML_53_001	Mutect2	0.0	0.0	0.0
AML_53_001	PHALCON	0.3333333333333333	0.2	0.25
AML_54_001	COMPASS	0.0	0.0	0.0
AML_54_001	GATK	0.0	0.0	0.0
AML_54_001	Mutect2	0.0	0.0	0.0
AML_54_001	PHALCON	0.0	0.0	0.0
AML_55_001	COMPASS	0.1428571428571428	0.1666666666666666	0.15384615384615377
AML_55_001	GATK	0.125	0.1666666666666666	0.14285714285714282
AML_55_001	Mutect2	0.25	0.1666666666666666	0.19999999999999993
AML_55_001	PHALCON	0.1666666666666666	0.1666666666666666	0.1666666666666666
AML_56_001	COMPASS	0.0	0.0	0.0
AML_56_001	GATK	0.0	0.0	0.0
AML_56_001	Mutect2	0.0	0.0	0.0
AML_56_001	PHALCON	0.0	0.0	0.0
AML_57_001	COMPASS	0.5	0.25	0.3333333333333333
AML_57_001	GATK	0.25	0.25	0.25
AML_57_001	Mutect2	0.5	0.25	0.3333333333333333
AML_57_001	PHALCON	1.0	0.25	0.4
AML_58_001	COMPASS	0.0	0.0	0.0
AML_58_001	GATK	0.0	0.0	0.0
AML_58_001	Mutect2	1.0	0.1428571428571428	0.2499999999999999
AML_58_001	PHALCON	0.5	0.1428571428571428	0.22222222222222215
AML_60_001	COMPASS	0.0	0.0	0.0
AML_60_001	GATK	0.0	0.0	0.0
AML_60_001	Mutect2	0.0	0.0	0.0
AML_60_001	PHALCON	0.0	0.0	0.0
AML_61_001	COMPASS	0.375	0.6	0.4615384615384615
AML_61_001	GATK	0.3333333333333333	0.6	0.42857142857142855
AML_61_001	Mutect2	0.0	0.0	0.0
AML_61_001	PHALCON	1.0	0.8	0.888888888888889
AML_62_001	COMPASS	0.2	0.25	0.22222222222222224
AML_62_001	GATK	0.2857142857142857	0.5	0.36363636363636365
AML_62_001	Mutect2	0.75	0.75	0.75
AML_62_001	PHALCON	1.0	0.75	0.8571428571428571
AML_63_001	COMPASS	0.0	0.0	0.0
AML_63_001	GATK	0.1666666666666666	0.3333333333333333	0.22222222222222218
AML_63_001	Mutect2	0.0	0.0	0.0
AML_63_001	PHALCON	0.6666666666666666	0.6666666666666666	0.6666666666666666
AML_64_001	COMPASS	0.0	0.0	0.0
AML_64_001	GATK	0.0	0.0	0.0
AML_64_001	Mutect2	0.25	0.1666666666666666	0.19999999999999993
AML_64_001	PHALCON	1.0	0.1666666666666666	0.28571428571428564
AML_65_001	COMPASS	0.5	1.0	0.6666666666666666
AML_65_001	GATK	0.3333333333333333	1.0	0.5
AML_65_001	Mutect2	0.0	0.0	0.0
AML_65_001	PHALCON	0.0	0.0	0.0
AML_67_001	COMPASS	0.1739130434782608	0.3076923076923077	0.22222222222222218
AML_67_001	GATK	0.2368421052631578	0.6923076923076923	0.35294117647058815
AML_67_001	Mutect2	0.2	0.3076923076923077	0.24242424242424246
AML_67_001	PHALCON	0.8461538461538461	0.8461538461538461	0.8461538461538461
AML_68_001	COMPASS	0.3333333333333333	0.4	0.3636363636363636
AML_68_001	GATK	0.375	0.6	0.4615384615384615
AML_68_001	Mutect2	0.0	0.0	0.0
AML_68_001	PHALCON	0.75	0.6	0.6666666666666665
AML_69_001	COMPASS	0.5	0.5	0.5
AML_69_001	GATK	0.4	0.5	0.4444444444444445
AML_69_001	Mutect2	0.3333333333333333	0.25	0.28571428571428575
AML_69_001	PHALCON	0.6666666666666666	0.5	0.5714285714285715
AML_70_001	COMPASS	0.0	0.0	0.0
AML_70_001	GATK	0.3333333333333333	0.3333333333333333	0.3333333333333333
AML_70_001	Mutect2	0.5	0.3333333333333333	0.4
AML_70_001	PHALCON	0.25	0.3333333333333333	0.28571428571428575
AML_71_001	COMPASS	0.0625	0.125	0.08333333333333333
AML_71_001	GATK	0.2413793103448276	0.875	0.3783783783783784
AML_71_001	Mutect2	0.2777777777777778	0.8333333333333334	0.4166666666666667
AML_71_001	PHALCON	0.75	0.75	0.75
AML_72_001	COMPASS	0.0	0.0	0.0
AML_72_001	GATK	0.1212121212121212	1.0	0.21621621621621623
AML_72_001	Mutect2	0.1333333333333333	0.5	0.21052631578947364
AML_72_001	PHALCON	0.6666666666666666	1.0	0.8
AML_73_001	COMPASS	0.3333333333333333	0.1666666666666666	0.22222222222222218
AML_73_001	GATK	0.25	0.1666666666666666	0.19999999999999993
AML_73_001	Mutect2	0.5	0.1666666666666666	0.24999999999999992
AML_73_001	PHALCON	0.6666666666666666	0.3333333333333333	0.4444444444444444
AML_74_001	COMPASS	0.5714285714285714	0.8	0.6666666666666666
AML_74_001	GATK	0.5714285714285714	0.8	0.6666666666666666
AML_74_001	Mutect2	1.0	0.2	0.33333333333333337
AML_74_001	PHALCON	0.3333333333333333	0.2	0.25
AML_75_001	COMPASS	0.1666666666666666	0.0909090909090909	0.11764705882352938
AML_75_001	GATK	0.1666666666666666	0.0909090909090909	0.11764705882352938
AML_75_001	Mutect2	0.5	0.0909090909090909	0.15384615384615383
AML_75_001	PHALCON	0.6	0.2727272727272727	0.37499999999999994
AML_76_001	COMPASS	0.3333333333333333	0.1666666666666666	0.22222222222222218
AML_76_001	GATK	0.3333333333333333	0.3333333333333333	0.3333333333333333
AML_76_001	Mutect2	0.25	0.1666666666666666	0.19999999999999993
AML_76_001	PHALCON	1.0	0.3333333333333333	0.5
AML_77_001	COMPASS	0.0	0.0	0.0
AML_77_001	GATK	0.08	0.2857142857142857	0.125
AML_77_001	Mutect2	0.2666666666666666	0.5714285714285714	0.3636363636363636
AML_77_001	PHALCON	0.8571428571428571	0.8571428571428571	0.8571428571428571
AML_80_001	COMPASS	0.1333333333333333	0.6666666666666666	0.22222222222222218
AML_80_001	GATK	0.12	1.0	0.21428571428571425
AML_80_001	Mutect2	0.1052631578947368	0.6666666666666666	0.18181818181818174
AML_80_001	PHALCON	0.75	1.0	0.8571428571428571
AML_81_001	COMPASS	0.0	0.0	0.0
